 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901   105.2   129.8   168.8    57.6     6.7     5.3     8.3    35.9    66.2   106.7    86.4   107.8   233.2    49.5   259.3   314.7   884.8
 1902   113.9    93.0   168.6    57.7    15.2    38.1    14.5    21.9    71.7    72.1    34.8   102.7   241.4    74.5   178.6   289.9   804.1
 1903    63.8   123.5    38.2   102.3    54.2     6.6     2.9     7.2     2.6    52.5    79.7    73.9   194.7    16.7   134.8   377.3   607.3
 1904   174.3   129.1    65.1    37.9    29.2    28.5     2.6     4.3    24.0    35.3    65.0    66.6   132.3    35.5   124.3   373.8   662.0
 1905   145.7   161.5   137.5    39.1    35.2    11.3     1.3    13.3    63.7    11.9    76.1   131.0   211.8    25.9   151.7   389.8   827.7
 1906   153.0   105.8   112.1    24.3    25.2     9.2     0.1     5.2    81.1    94.3   132.2   131.8   161.6    14.5   307.7   454.1   874.3
 1907   173.9   148.5   146.0   108.8    68.7     4.4     9.5     0.5    64.5    87.8   131.1   150.3   323.4    14.3   283.4   352.3  1093.8
 1908   108.0    94.0   123.0    36.9     5.4    30.9    13.3    43.2    81.0   118.3   101.4    94.8   165.3    87.4   300.7   623.0   850.1
 1909   265.6   262.7    96.0    57.5    89.2     0.0     4.0    10.4    79.0    29.2    89.2   187.9   242.6    14.4   197.4   529.3  1170.6
 1910   195.9   145.5    99.5    21.1    32.8    10.6     3.9     4.6    79.9   169.3    48.5    95.3   153.4    19.0   297.6   284.4   906.7
 1911   109.4    79.7   171.8    75.7    52.3     7.6    25.5    22.6    38.1    87.7   140.7    62.5   299.8    55.7   266.5   331.0   873.6
 1912    87.7   180.8    71.0    82.6    42.4    21.8    10.8     1.7     1.5    40.5    45.7   142.7   196.1    34.3    87.7   350.9   729.3
 1913    84.0   124.2   154.4    36.4    10.8     7.1    12.1    25.5    46.3    88.4    55.8    19.3   201.5    44.7   190.5   202.5   664.2
 1914    76.6   106.6    71.1    69.3    32.7     7.2     1.4    38.2    16.0    87.0   112.6   167.0   173.2    46.8   215.6   477.6   785.8
 1915   181.9   128.6    53.1    20.0    35.0    11.3    26.0     6.8    44.3    96.9   156.9   104.4   108.0    44.1   298.0   304.7   865.1
 1916   117.2    83.0    90.1    67.5    20.4     2.8     7.2     0.8    22.4    65.6    52.8   143.8   178.0    10.9   140.9   436.5   673.8
 1917   150.6   142.0   100.4    50.0    18.9    30.6    32.1    54.1    42.1    53.4   160.6   135.0   169.3   116.7   256.1   398.4   969.7
 1918   118.4   145.0   154.2     6.7    19.9     4.4    28.5    64.5    76.1    53.5    66.4   111.5   180.8    97.5   196.0   267.6   849.1
 1919   106.9    49.2    83.7    77.9     5.9     6.9    14.1     9.4    56.2    24.5   122.6    35.5   167.5    30.4   203.3   326.2   592.9
 1920   151.5   139.2   176.0    26.3    16.1     3.0     4.3    10.7    58.5    96.3    51.9    68.9   218.4    18.0   206.7   310.6   802.7
 1921    88.6   153.1   151.8    49.3    30.1     2.1     0.9     4.4    54.4    35.9   139.9   159.1   231.2     7.4   230.2   386.1   869.6
 1922   155.2    71.8    54.2    12.1    30.0    34.7     6.8    35.7    11.0    93.1   148.2   102.1    96.3    77.1   252.2   369.4   754.7
 1923   144.0   123.4    59.1    57.8    41.9    48.9    30.6    21.5     4.5    38.9    75.2    70.3   158.7   100.9   118.6   275.5   715.9
 1924   110.8    94.4   184.4    21.7    13.8     3.3     4.3     7.9   100.5    96.5   159.2   160.5   219.9    15.5   356.2   383.0   957.4
 1925    90.9   131.6   232.8   107.5    47.2     7.8     3.7     4.2    57.1    70.7    93.2    60.8   387.4    15.7   221.0   269.4   907.4
 1926   117.9    90.7   136.5    12.0    22.7    23.2     1.5     1.1    77.2    94.7   121.4   121.0   171.2    25.8   293.4   337.0   819.9
 1927   106.1   109.9   148.5    21.0     9.4     2.2    34.8    21.8     5.1   115.3    40.5   167.4   178.8    58.7   160.9   419.6   781.9
 1928   147.2   105.0    91.8    34.3     9.0     6.4     0.4    10.3    35.9    95.5    83.6   137.7   135.1    17.0   215.0   344.6   757.1
 1929   136.3    70.6   143.0    23.6    32.7    57.1    37.5    14.0   130.5    53.0   107.4   164.0   199.3   108.6   290.9   382.7   969.8
 1930   135.5    83.1   143.3    72.6    15.6     7.9     6.5    22.3    22.1    66.8    55.7    92.5   231.4    36.7   144.5   349.7   723.7
 1931   162.0    95.2    95.3   125.6     1.9     1.6    47.3     0.6     0.3    66.3   106.6    72.8   222.8    49.4   173.2   310.8   775.4
 1932    85.5   152.5   100.3    10.3    25.4     5.9     2.7     0.4    33.5    33.0    92.2   103.4   136.0     9.0   158.7   238.7   645.1
 1933    49.3    86.0    92.3    39.6    13.1     9.8    15.6     1.5     7.9    22.9   195.8   198.4   145.0    26.9   226.6   563.3   732.2
 1934   253.0   111.9   122.4    70.5    68.6     5.4    43.4    37.1    11.2    98.0   192.2   158.4   261.6    85.9   301.3   331.4  1172.1
 1935    77.6    95.4   125.4    58.9    45.3    10.9     2.5    25.4    16.0    58.3    65.4   107.8   229.7    38.9   139.7   312.9   689.1
 1936    96.7   108.4   103.4    24.4    71.2     3.4     4.6     0.3     8.7    96.6   210.9   119.2   199.0     8.2   316.2   467.8   847.8
 1937   183.6   165.0    96.0    22.7    12.8     1.9     8.3     0.9    16.7    48.9    58.2   100.4   131.5    11.1   123.8   391.7   715.4
 1938   146.5   144.8    36.1    97.7    19.4    41.9    22.2    46.4    25.5   100.8    63.8   143.0   153.2   110.5   190.1   488.8   888.1
 1939   158.8   187.0    58.4    21.1    52.2     3.4    33.0    40.4    39.6   111.6   143.7    94.1   131.8    76.8   295.0   278.9   943.4
 1940    84.0   100.8    97.6    82.8    58.3    14.0     8.4     1.9    98.8    29.8   106.1   145.7   238.7    24.3   234.7   430.6   828.1
 1941   140.6   144.3    65.0    75.9     7.1     2.2    22.1     4.5    41.6   110.3    15.1    50.4   148.0    28.8   167.0   354.6   679.2
 1942   170.6   133.6   134.9    63.0    24.0     7.5     0.4    50.8    32.2   103.1   138.5   179.3   221.9    58.7   273.9   370.6  1038.0
 1943   132.8    58.5   107.7   117.9    82.0     3.1    21.3    59.1    19.9   162.4   190.5   192.3   307.5    83.5   372.7   442.2  1147.3
 1944   110.0   139.8    85.2    12.4    37.7    52.8     0.8     0.8    89.2    87.3    85.0    31.6   135.3    54.4   261.5   231.2   732.6
 1945    86.2   113.4   174.8    33.0    36.7     2.6     2.0     2.8     3.0    33.4    45.2    69.1   244.5     7.4    81.6   292.7   602.1
