 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    17.0    16.2    13.2    11.6     6.9     4.9     4.4     7.2     9.5    11.3    13.3    15.1    10.6     5.5    11.4    15.4    10.9
 1902    15.1    15.9    14.0    10.2     8.2     4.0     5.3     6.4     9.5    11.9    12.6    15.4    10.8     5.2    11.4    15.9    10.7
 1903    16.6    15.6    13.7     9.9     7.4     3.9     4.6     7.0    10.1    11.7    12.9    15.3    10.3     5.2    11.6    15.4    10.7
 1904    15.9    15.1    13.6    10.9     7.6     5.0     5.3     6.8    10.0    11.9    13.8    13.9    10.7     5.7    11.9    15.0    10.8
 1905    16.3    15.0    13.2    11.3     7.1     3.8     5.6     5.7    10.3    12.6    13.3    15.4    10.5     5.1    12.1    15.8    10.8
 1906    17.0    15.1    13.5     9.7     7.4     5.3     4.6     5.7    10.1    11.0    13.1    14.3    10.2     5.2    11.4    15.0    10.6
 1907    15.5    15.3    14.3     9.7     6.3     4.3     4.8     7.1    10.4    10.9    12.4    14.0    10.1     5.4    11.2    15.0    10.4
 1908    15.4    15.7    13.6     8.7     7.3     4.4     5.0     6.6    10.7    11.5    13.1    15.4     9.9     5.4    11.8    15.2    10.6
 1909    16.1    14.3    12.8    10.8     7.1     5.4     5.2     7.0    10.2    11.6    13.3    14.4    10.2     5.8    11.7    15.0    10.7
 1910    15.9    14.6    13.8    10.3     7.3     4.0     4.9     6.3     9.9    11.3    12.0    14.5    10.5     5.0    11.1    15.5    10.4
 1911    16.0    16.1    13.6    10.0     6.6     3.6     4.3     6.0    10.1    13.0    13.6    16.1    10.1     4.6    12.2    16.2    10.8
 1912    16.5    15.9    13.6    10.8     7.8     4.7     4.9     6.8     9.8    12.5    14.3    15.4    10.8     5.5    12.2    16.1    11.1
 1913    16.8    16.1    13.6    10.9     7.8     5.3     5.2     7.7    10.3    12.0    14.0    15.5    10.8     6.1    12.1    16.2    11.3
 1914    17.2    15.7    14.4    11.1     8.4     4.4     5.2     6.6    11.7    13.0    13.2    15.4    11.3     5.4    12.6    16.4    11.4
 1915    17.6    16.2    14.6    10.6     7.1     4.7     4.2     7.1    10.4    12.0    13.6    15.0    10.8     5.3    12.0    15.6    11.1
 1916    15.8    16.0    13.8    11.0     6.2     4.5     5.7     6.4    10.8    12.8    14.0    15.5    10.3     5.5    12.5    15.7    11.0
 1917    16.2    15.4    14.0    10.3     6.8     4.4     4.3     5.4     9.7    11.9    12.9    14.8    10.4     4.7    11.5    15.1    10.5
 1918    15.0    15.6    13.8    10.6     6.6     4.5     4.8     6.3    11.2    13.2    13.6    15.3    10.3     5.2    12.7    15.9    10.9
 1919    16.6    15.9    14.4    11.9     7.1     5.4     5.4     6.9     9.8    12.9    12.9    15.4    11.2     5.9    11.8    15.9    11.2
 1920    17.2    15.3    13.4    10.9     7.7     4.2     5.8     7.5    10.3    12.1    14.8    15.1    10.7     5.8    12.4    15.6    11.2
 1921    15.9    15.9    14.5    10.3     6.7     4.9     3.7     6.2    10.1    12.2    13.2    14.7    10.5     5.0    11.8    15.6    10.7
 1922    16.6    15.5    14.6    11.4     6.8     4.5     5.7     7.2    11.4    12.8    13.6    15.6    10.9     5.8    12.6    15.8    11.3
 1923    16.2    15.5    14.8    10.3     7.1     4.7     5.3     7.4    11.2    14.1    15.0    15.2    10.8     5.8    13.4    15.5    11.4
 1924    16.5    14.8    13.5    10.5     7.2     4.5     4.4     6.2    10.0    12.0    13.2    14.9    10.4     5.0    11.8    15.8    10.6
 1925    16.0    16.4    13.9    10.8     7.0     4.2     5.0     7.7    10.3    12.1    14.1    15.9    10.6     5.6    12.2    16.9    11.1
 1926    17.8    17.0    14.2    11.0     7.6     5.0     4.1     6.9    10.0    12.6    13.2    15.3    11.0     5.3    11.9    16.2    11.2
 1927    17.1    16.1    14.1    11.4     7.3     4.9     5.7     7.2    11.8    12.9    14.6    15.4    10.9     6.0    13.1    15.7    11.6
 1928    16.3    15.3    14.4    10.9     7.6     5.2     5.4     6.6    10.0    12.4    14.1    15.5    11.0     5.7    12.2    15.9    11.1
 1929    16.4    15.7    13.3    10.7     8.3     5.3     5.0     6.9    10.9    13.1    14.2    15.4    10.8     5.7    12.7    15.5    11.3
 1930    16.0    15.0    14.2    10.5     7.6     4.6     5.5     6.5     9.5    12.8    14.2    16.3    10.8     5.5    12.2    16.5    11.1
 1931    16.6    16.7    14.8    10.4     8.9     5.1     4.7     7.6    10.9    12.7    14.4    15.9    11.4     5.8    12.7    16.0    11.6
 1932    16.1    16.0    14.9    12.8     8.4     5.5     5.3     7.8    11.7    13.3    14.8    15.6    12.0     6.2    13.3    16.2    11.9
